id,name,artists,album,release_date,duration_ms,popularity,external_url,genre
15tHagkk8z306XkyOHqiip,"I'll Be There for You - Theme From ""Friends""",The Rembrandts,L.P.,1995-05-02,188359,68,https://open.spotify.com/track/15tHagkk8z306XkyOHqiip,Rock
5vYA1mW9g2Coh1HUFUSmlb,3AM,Matchbox Twenty,Yourself or Someone Like You,1996-10-01,225946,74,https://open.spotify.com/track/5vYA1mW9g2Coh1HUFUSmlb,Rock
5CQ30WqJwcep0pYcV4AMNc,Stairway to Heaven - Remaster,Led Zeppelin,Led Zeppelin IV (Deluxe Edition),1971-11-08,482830,80,https://open.spotify.com/track/5CQ30WqJwcep0pYcV4AMNc,Rock
4bEb3KE4mSKlTFjtWJQBqO,Don't Stop - 2004 Remaster,Fleetwood Mac,Rumours,1977-02-04,193346,77,https://open.spotify.com/track/4bEb3KE4mSKlTFjtWJQBqO,Rock
7Jh1bpe76CNTCgdgAdBw4Z,Heroes - 2017 Remaster,David Bowie,"""Heroes"" (2017 Remaster)",1977,371413,76,https://open.spotify.com/track/7Jh1bpe76CNTCgdgAdBw4Z,Rock
3d9DChrdc6BOeFsbrZ3Is0,Under the Bridge,Red Hot Chili Peppers,Blood Sugar Sex Magik (Deluxe Edition),1991-09-24,264306,85,https://open.spotify.com/track/3d9DChrdc6BOeFsbrZ3Is0,Rock
2m1hi0nfMR9vdGC8UcrnwU,All The Small Things,blink-182,Enema Of The State,1999-06-01,167066,82,https://open.spotify.com/track/2m1hi0nfMR9vdGC8UcrnwU,Rock
0ofHAoxe9vBkTCp2UQIavz,Dreams - 2004 Remaster,Fleetwood Mac,Rumours (Super Deluxe),1977-02-04,257800,91,https://open.spotify.com/track/0ofHAoxe9vBkTCp2UQIavz,Rock
6L89mwZXSOwYl76YXfX13s,Basket Case,Green Day,Dookie,1994-02-01,181533,84,https://open.spotify.com/track/6L89mwZXSOwYl76YXfX13s,Rock
02tuq9VGMAQpYYp70z2fBI,Take Me Away (from Freaky Friday),Lash,The Beautiful And The Damned,2002,213800,59,https://open.spotify.com/track/02tuq9VGMAQpYYp70z2fBI,Rock
5SAUIWdZ04OxYfJFDchC7S,Smoke on the Water,Deep Purple,Machine Head,1972-03-25,342173,65,https://open.spotify.com/track/5SAUIWdZ04OxYfJFDchC7S,Rock
0gzqZ9d1jIKo9psEIthwXe,Beautiful Day,U2,All That You Can't Leave Behind,2000-01-01,248400,74,https://open.spotify.com/track/0gzqZ9d1jIKo9psEIthwXe,Rock
62LJFaYihsdVrrkgUOJC05,Kiss,Prince,Parade - Music from the Motion Picture Under the Cherry Moon,1986-03-31,226240,75,https://open.spotify.com/track/62LJFaYihsdVrrkgUOJC05,Rock
4VqPOruhp5EdPBeR92t6lQ,Uprising,Muse,The Resistance,2009-09-10,304840,78,https://open.spotify.com/track/4VqPOruhp5EdPBeR92t6lQ,Rock
6Amt2E3nanH9lhZnas9oOs,Run to Paradise,Choirboys,Big Bad Noise,1987,251586,62,https://open.spotify.com/track/6Amt2E3nanH9lhZnas9oOs,Rock
5UWwZ5lm5PKu6eKsHAGxOk,Everlong,Foo Fighters,The Colour And The Shape,1997-05-20,250546,84,https://open.spotify.com/track/5UWwZ5lm5PKu6eKsHAGxOk,Rock
1Q1b8eVkUPGlpSArl8JAVw,Heart of Gold - 2009 Remaster,Neil Young,Harvest (2009 Remaster),1972-02-14,187013,65,https://open.spotify.com/track/1Q1b8eVkUPGlpSArl8JAVw,Rock
